x_norm,y_norm,w_norm,h_norm,text_length,word_count,is_single_line,has_punctuation,letter_ratio,label
0.3521,0.0328,0.2951,0.0484,0,0,1,0,0.0,1
0.0,0.1059,1.0,0.8285,0,0,1,0,0.0,1
0.0,0.8219,1.0,0.0113,0,0,1,0,0.0,1
0.034,0.8496,0.9319,0.0656,11,2,1,0,0.9091,1
0.0,0.7371,1.0,0.0684,56,9,1,0,0.8571,0
0.15,0.173,0.7,0.5477,0,0,1,0,0.0,1
0.1625,0.6836,0.1458,0.0301,0,0,1,0,0.0,1
0.1674,0.2004,0.6653,0.0512,0,0,1,0,0.0,1
0.15,0.5141,0.7,0.2066,0,0,1,0,0.0,1
0.3354,0.9237,0.1981,0.0274,3,2,1,0,0.8113,1
0.0495,0.362,0.8816,0.1488,240,40,0,1,0.8938,0
0.2198,0.4899,0.6397,0.1166,168,24,0,1,0.7646,0
0.5149,0.8293,0.6104,0.0363,154,22,0,1,0.8957,0
0.1008,0.9363,0.0988,0.0299,6,2,1,0,0.8801,1
0.633,0.0583,0.114,0.0436,2,2,1,0,0.9778,1
0.082,0.3078,0.8264,0.2067,246,41,0,1,0.8963,0
0.0566,0.6365,0.8425,0.1546,198,33,0,1,0.7312,0
0.2279,0.0935,0.3887,0.0462,3,2,1,0,0.8982,1
0.0954,0.8439,0.0947,0.0229,14,3,1,0,0.789,1
0.6665,0.0274,0.133,0.0505,3,1,1,0,0.8872,1
0.5098,0.4534,0.5571,0.0856,147,21,0,1,0.6533,0
0.2139,0.8071,0.3937,0.0313,154,22,0,0,0.6655,0
0.6396,0.068,0.1512,0.0426,6,1,1,0,0.9827,1
0.1479,0.5416,0.4576,0.0539,28,4,1,0,0.8071,0
0.2705,0.811,0.4379,0.107,45,15,0,1,0.7213,0
0.0784,0.5835,0.0835,0.0239,4,2,1,0,0.8868,1
0.391,0.1008,0.0872,0.0212,5,2,1,0,0.8065,1
0.7103,0.9337,0.1608,0.0372,7,1,1,0,0.8843,1
0.072,0.4507,0.8759,0.1194,168,42,0,1,0.8164,0
0.1532,0.2214,0.5668,0.1875,210,42,0,1,0.7494,0
0.1342,0.8058,0.0689,0.0215,4,2,1,0,0.9801,1
0.0638,0.306,0.8486,0.1949,88,22,0,1,0.9119,0
0.0035,0.9105,0.1606,0.0309,3,2,1,0,0.8847,1
0.1481,0.5123,0.4438,0.0669,25,5,1,1,0.8069,0
0.1151,0.6085,0.1184,0.0298,8,1,1,0,0.861,1
0.1283,0.0208,0.2284,0.0369,9,2,1,0,0.9838,1
0.5854,0.5739,0.1794,0.0205,5,1,1,0,0.9741,1
0.6688,0.1199,0.486,0.0571,5,1,1,0,0.8813,1
0.136,0.7366,0.2867,0.072,80,20,0,1,0.6766,0
0.0741,0.5197,0.674,0.0814,210,42,0,1,0.741,0
0.2634,0.1031,0.2362,0.0284,5,1,1,0,0.8219,1
0.4389,0.1501,0.639,0.0676,144,24,0,1,0.7583,0
0.0349,0.2062,0.7108,0.1483,280,56,0,1,0.82,0
0.2807,0.9778,0.1464,0.0438,6,1,1,0,0.751,1
0.6934,0.9257,0.099,0.0417,5,1,1,0,0.929,1
0.7968,0.0191,0.2601,0.0552,9,1,1,0,0.818,1
0.0148,0.2663,0.0954,0.0315,14,2,1,0,0.8904,1
0.1209,0.8328,0.5132,0.0425,42,6,1,0,0.6919,0
0.5332,0.9069,0.1441,0.0205,4,1,1,0,0.8678,1
0.3173,0.5222,0.1302,0.0279,6,1,1,0,0.9854,1
0.1223,0.2877,0.7185,0.2362,204,51,0,1,0.8505,0
0.0614,0.614,0.0959,0.0271,14,1,1,0,0.8642,1
0.1885,0.2206,0.8585,0.1838,195,39,0,1,0.8727,0
0.074,0.2749,0.4992,0.1125,120,24,0,1,0.6732,0
0.8709,0.5909,0.1784,0.0304,7,1,1,0,0.9761,1
0.2729,0.1289,0.14,0.0407,7,1,1,0,0.915,1
0.1453,0.695,0.6016,0.0977,228,57,0,1,0.9193,0
0.0656,0.012,0.3706,0.0377,8,2,1,0,0.8046,1
0.403,0.96,0.2357,0.0397,6,1,1,0,0.7049,1
0.0451,0.7126,0.8604,0.064,120,24,0,1,0.7493,0
0.0254,0.3477,0.1797,0.0351,9,3,1,0,0.9692,1
0.7045,0.9706,0.2167,0.0422,6,2,1,0,0.8538,1
0.2449,0.376,0.3415,0.1155,70,14,0,1,0.7514,0
0.7939,0.115,0.3044,0.0599,12,2,1,0,0.9078,1
0.1753,0.3658,0.4397,0.0364,105,15,0,0,0.6691,0
0.3293,0.09,0.0767,0.0311,12,1,1,0,0.9403,1
